Model,RMSE,MAE,R_squared,MSE
Ensemble: Error-Weighted,0.3674266895245741,0.23055655545327386,0.9056996372759566,0.13500237217498776
Ensemble: Linear Stacking,0.3681422344296656,0.2858390900477978,0.8913155728455121,0.13552870477086684
XGBoost (Base),0.3689011995553001,0.2851068937307389,0.8912328105330037,0.13608809503333935
Ensemble: Bayesian Averaging,0.4142434426309183,0.30939362553821975,0.8725064421767668,0.17159762976271487
Ensemble: R²-Weighted,0.43081689188018985,0.3192577620272226,0.8633990561493206,0.1856031943293072
Ensemble: Equal Weighted (50-50),0.4471261950249144,0.3296303118403537,0.8535679570542742,0.19992183427745777
Ensemble: Median,0.4471261950249144,0.3296303118403537,0.8535679570542742,0.19992183427745777
Ensemble: Rank Average,0.8235568891163207,0.7020043249266423,0.8126446239066171,0.6782459496109517
Random Forest (Base),0.6236444514429647,0.4499053485607547,0.6996261763843038,0.3889324018155963
