Model,RMSE,MAE,R_squared,MSE
XGBoost (GPU),0.3689011995553001,0.2851068937307389,0.8912328105330037,0.13608809503333935
Random Forest (1000 trees),0.6236444514429647,0.4499053485607547,0.6996261763843038,0.3889324018155963
Deep Neural Network (5-layer),0.8844576825927474,0.7258475725790651,0.6320269006190427,0.782265392297333
