Method,RMSE,MAE,R_squared
Random Forest,0.6236444514429647,0.4499053485607547,0.6996261763843038
XGBoost,0.3689011995553001,0.2851068937307389,0.8912328105330037
DNN Advanced,3.5371670342637245,2.8636135928893043,0.05209021110993864
Linear Stacking,0.3669697063470476,0.2853160464707397,0.892006787223187
Weighted Average,0.9921847443241911,0.8091099163728374,0.5914356493678801
Rank Average,0.9853566192696249,0.7205721457828037,0.5122063494684972
Median Ensemble,0.5423489372672672,0.39186041223036894,0.7885300986710255
Trimmed Mean Ensemble,1.2762387067483207,1.03991827313358,0.4342299482040054
