molecule_chembl_id,canonical_smiles,pActivity,n_measurements,targets,assay_types,bioactivity_class
CHEMBL5409791,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](OC(C)(C)C)C[C@H]1C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,4.692717952966654,1,CHEMBL4523582,IC50,Inactive
CHEMBL5199064,Cc1cc([N+](=O)[O-])c(-c2ccc(/C=N/NC(=O)c3nonc3N)o2)cc1Cl,4.601712694642599,1,CHEMBL4523582,IC50,Inactive
CHEMBL5279597,O=C(Oc1ccc(O)c(O)c1)c1cc(=O)c2c(O)cccc2o1,5.698970004336019,1,CHEMBL4523582,IC50,Inactive
CHEMBL5093083,Cc1ccc(N(C)C2CNC2)cc1C(=O)N[C@H](C)c1cccc2ccccc12,5.619788758288394,1,CHEMBL4523582,IC50,Inactive
CHEMBL5193842,C#CC(=O)N1CCN(c2ccc(Cl)c(Cl)c2)[C@H](C(=O)NCc2cccs2)C1,5.552841968657781,1,CHEMBL4523582,IC50,Inactive
CHEMBL5424971,CNc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)c2ccc(C)c(Cl)c2)[C@@H](O)[C@H]1O,5.661543506395395,1,CHEMBL4523582,IC50,Inactive
CHEMBL2442075,CC(C)(C)NC(=O)C(c1ccsc1)N(C(=O)Cn1nnc2ccccc21)c1ccc(NC(=O)C(C)(C)C)cc1,4.647817481888637,1,CHEMBL3927,IC50,Inactive
CHEMBL1405735,CCC(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NC2CCCC2)c2cccnc2)cc1,5.657577319177793,2,CHEMBL3927;CHEMBL4523582,IC50,Inactive
CHEMBL5632793,O=C(NCCCCCCc1ccccc1)n1cc(F)c(=O)[nH]c1=O,5.42021640338319,1,CHEMBL4523582,IC50,Inactive
CHEMBL1762621,COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,5.235823867609669,1,CHEMBL4523582,IC50,Inactive
CHEMBL5561562,CC1COP(=O)(Oc2cc(O)c3c(=O)c(O)c(-c4cc(O)c(O)c(O)c4)oc3c2)OC1,5.1791420105603,1,CHEMBL4523582,IC50,Inactive
CHEMBL5170994,Cc1cc(-c2ccc(/C=N/NC(=O)Cn3nnnc3N)o2)c([N+](=O)[O-])cc1C,4.756961951313706,1,CHEMBL4523582,IC50,Inactive
CHEMBL5410934,CC1C2=C(CC(C)(C)CC2=O)Nc2cc([N+](=O)[O-])ccc2N1C(=O)CCl,4.632271453913024,1,CHEMBL4523582,IC50,Inactive
CHEMBL5632113,C=C(Cl)C(=O)N(c1ccc(-c2ccccc2)cc1)C(C(=O)N[C@@H](C)c1ccccc1)c1cccnc1,5.374687549038326,1,CHEMBL4523582,IC50,Inactive
CHEMBL2402502,CCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,5.795880017344075,1,CHEMBL3927,Ki,Inactive
CHEMBL5183136,CC1(C)[C@H](C(=O)OCc2ccccc2)N2C(=O)[C@@H](NC(=O)COCc3ccccc3)[C@H]2S1(=O)=O,5.638272163982407,1,CHEMBL4523582,IC50,Inactive
CHEMBL5187397,NC(=S)N/N=C/c1ccc(-c2ccc(C(=O)O)c(Cl)c2)o1,4.487715936718146,1,CHEMBL4523582,IC50,Inactive
CHEMBL5583810,Cc1ccc(OC2CNC2)cc1C(=O)N[C@H](C)c1cccc(-c2ncc(CNC3CCCC3)o2)c1,5.856985199745905,1,CHEMBL4523582,IC50,Inactive
CHEMBL5175665,CC1(C)[C@H](C(=O)OCc2ccccc2)N2C(=O)[C@@H](NC(=O)COc3ccccc3)[C@H]2[S@@+]1[O-],4.640164517660112,1,CHEMBL4523582,IC50,Inactive
CHEMBL5565663,O=C(c1cccnc1)N1CCN(Cc2cc(Cl)cc(Cl)c2OC(F)F)CC1,4.200659450546418,1,CHEMBL4523582,IC50,Inactive
CHEMBL208584,CCCc1cc(O)nc(SCC(=O)Nc2ccc(Cl)cc2)n1,4.521439352535898,2,CHEMBL3927,IC50,Inactive
CHEMBL5613416,CCc1nc2ccccc2n1C(=O)c1ccc(C)cc1,5.1818794972488655,2,CHEMBL4523582,IC50,Inactive
CHEMBL5557307,Cc1ccc(-c2noc([C@@H](C)c3ccc(-c4ccccc4)c(F)c3)n2)cc1NCc1ccc(C(=O)O)s1,5.468521082957745,1,CHEMBL4523582,IC50,Inactive
CHEMBL2442059,CNc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,5.6777807052660805,1,CHEMBL3927,IC50,Inactive
CHEMBL5590176,Cc1ccc(NC2CNC2)cc1C(=O)N[C@H](C)c1cccc(-c2sc(CN3CCCC3)cc2C)c1,5.498940737782249,1,CHEMBL4523582,IC50,Inactive
CHEMBL5436202,O=c1[nH]c(-c2ccc(F)cc2F)nc2cc(O)c(O)c(O)c12,5.812197361281581,1,CHEMBL4523582,IC50,Inactive
CHEMBL5282313,CC1=C(c2ccccc2)C1C(=O)NCc1nc(-c2ccc(C(F)(F)F)cc2)no1,5.1732774798310075,1,CHEMBL4523582,IC50,Inactive
CHEMBL5527903,O=C(NCCc1cccc(F)c1)[C@H](c1cncnc1)N(C(=O)[C@H](F)Cl)c1ccc(S(F)(F)(F)(F)F)cc1,4.189095719331299,1,CHEMBL4523582,Ki,Inactive
CHEMBL5560737,C[C@H](NC(=O)[C@@H](c1cccnc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1)c1ccccc1,5.2441251443275085,1,CHEMBL4523582,IC50,Inactive
CHEMBL5904760,CC(C)C(=O)Nc1ccc(N(C(=O)Cn2nnc3ccccc32)C(C(=O)NCc2ccccc2)c2ccc(OCCCN(C)C)cc2)cc1,4.5638373529592435,1,CHEMBL5118,IC50,Inactive
CHEMBL5202168,CC1(C)[C@H](C(=O)OCc2ccc(C(F)(F)F)o2)N2C(=O)[C@@H](NC(=O)COc3ccccc3)[C@H]2S1(=O)=O,4.991399828238082,1,CHEMBL4523582,IC50,Inactive
CHEMBL3099533,CN1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3)CC1,4.114978205137702,1,CHEMBL5118,IC50,Inactive
CHEMBL5188282,Cc1cccc(COc2cccc(C(=O)Nc3ccc4c(c3)B(O)OC4)c2)c1,4.223298816011589,1,CHEMBL4523582,IC50,Inactive
CHEMBL5594354,C[C@H](c1cccc(-c2ccc(CN3CCCC3)s2)c1)N(C)Cc1ccc(O)cc1,5.229884705212898,1,CHEMBL4523582,IC50,Inactive
CHEMBL471187,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1,5.070851737733058,2,CHEMBL5118,IC50;Ki,Inactive
CHEMBL3809926,O=C(O)c1cccc(N2N=C(c3ccccc3)/C(=C/c3ccc(OCc4ccccc4)cc3)C2=O)c1,4.804100347590766,1,CHEMBL5118,IC50,Inactive
CHEMBL5592599,Cc1ccc(N2C(=O)C[n+]3ccccc3C2C(=O)Nc2ccccc2C)cc1,5.214670164989233,1,CHEMBL4523582,IC50,Inactive
CHEMBL5175405,OCC1Cc2c(-c3cc(-c4ccccc4)ccn3)cccc2-c2c(O)ccc(-c3ccc(Br)cc3)c21,5.54065725990424,4,CHEMBL4523582,IC50;Ki,Inactive
CHEMBL2402685,COc1cccc(NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)c2nc3ccccc3s2)c1,5.70446769648675,2,CHEMBL3927,IC50;Ki,Inactive
CHEMBL5288729,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)[C@@H](C(=O)NCCc1cccc(F)c1)c1cccnc1,4.0638885683251456,1,CHEMBL4523582,IC50,Inactive
CHEMBL5421327,CC1(C)CC(=O)C2=C(C1)Nc1cc([N+](=O)[O-])ccc1N(C(=O)CCl)C2c1ccc(C(F)(F)F)cc1,5.428291168191312,1,CHEMBL4523582,IC50,Inactive
CHEMBL385315,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)Cn1[nH]c(=O)c2c([N+](=O)[O-])cccc2c1=O)C(C)O)C(C)C,4.275724130399211,1,CHEMBL4523582,IC50,Inactive
CHEMBL5570215,Cc1ccc(OC2CNC2)cc1C(=O)N[C@H](C)c1cccc2ccccc12,5.85078088734462,1,CHEMBL4523582,IC50,Inactive
CHEMBL466532,CNc1ccc(C(=O)Oc2cncc(Cl)c2)cc1,5.404503778174425,1,CHEMBL4523582,IC50,Inactive
