epoch,train_loss,val_loss
1,25.806971232096355,28.649789810180664
2,24.81237729390462,28.723318099975586
3,23.853766123453777,28.592531204223633
4,22.960320154825848,28.46576499938965
5,22.007174173990887,28.017831802368164
6,21.105397542317707,26.985919952392578
7,20.173869132995605,25.938093185424805
8,19.40673065185547,25.011831283569336
9,18.596582412719727,23.968067169189453
10,17.811904589335125,22.732473373413086
11,17.07487456003825,21.949251174926758
12,16.3472474416097,21.193803787231445
13,15.579561233520508,20.331724166870117
14,14.952181498209635,19.577877044677734
15,14.102729797363281,18.788679122924805
16,13.502230167388916,17.84259033203125
17,12.888271490732828,16.86322784423828
18,12.389716943105062,16.082006454467773
19,11.584929943084717,15.43647289276123
20,11.074378649393717,14.914306640625
21,10.551838715871176,14.483475685119629
22,9.8844575881958,13.855984687805176
23,9.553496360778809,13.543229103088379
24,8.955027262369791,12.934967994689941
25,8.424331506093344,12.408010482788086
26,8.014399846394857,11.67619800567627
27,7.511614163716634,10.894962310791016
28,7.135808149973552,10.311128616333008
29,6.707191705703735,10.090516090393066
30,6.210203568140666,9.612510681152344
31,5.937471389770508,9.272345542907715
32,5.524546027183533,8.839728355407715
33,5.120979865392049,8.318625450134277
34,4.873097936312358,7.919469356536865
35,4.544411818186442,7.769250392913818
36,4.214844584465027,7.378171443939209
37,3.919726808865865,6.9733195304870605
38,3.7066814303398132,6.446944713592529
39,3.477140227953593,5.951526641845703
40,3.235442658265432,5.663455486297607
41,3.002634346485138,5.384947299957275
42,2.7641805013020835,5.171234130859375
43,2.6257573664188385,4.8217597007751465
44,2.403446594874064,4.655467987060547
45,2.1874221662680307,4.464639663696289
46,2.1655433028936386,4.26724910736084
47,1.9035624464352925,4.1297688484191895
48,1.8695111125707626,3.9979894161224365
49,1.779309223095576,3.9498963356018066
50,1.5783475438753765,3.826800584793091
51,1.4877293854951859,3.644195556640625
52,1.3559769491354625,3.4985318183898926
53,1.3142921850085258,3.4256508350372314
54,1.2859485695759456,3.3961262702941895
55,1.1799466858307521,3.204671859741211
56,1.1522243072589238,2.908257484436035
57,1.063155819972356,2.777538537979126
58,1.008049761255582,2.6300439834594727
59,0.990576888124148,2.5817692279815674
60,0.9650485614935557,2.5730457305908203
61,0.9162312845389048,2.5270042419433594
62,0.8987932950258255,2.487680673599243
63,0.8857271025578181,2.455294132232666
64,0.8492595851421356,2.3892107009887695
65,0.8128703335920969,2.316472291946411
66,0.8276010056336721,2.206263780593872
67,0.7755786925554276,2.0566062927246094
68,0.765017956495285,2.0007026195526123
69,0.7576818565527598,1.993343710899353
70,0.7679426123698553,1.983025312423706
71,0.7568855434656143,1.9440202713012695
72,0.7341643646359444,1.925868272781372
73,0.7004843056201935,1.9107800722122192
74,0.681163897116979,1.9283709526062012
75,0.70598171154658,1.8812713623046875
76,0.6817685887217522,1.806296706199646
77,0.6196010410785675,1.7614127397537231
78,0.6879584540923437,1.7109177112579346
79,0.637066106001536,1.6829595565795898
80,0.6437053779760996,1.7050583362579346
81,0.6303570568561554,1.641053557395935
82,0.6030249297618866,1.617552399635315
83,0.6110104123751322,1.6030257940292358
84,0.5340080807606379,1.5853369235992432
85,0.5899583796660105,1.5687395334243774
86,0.5452804292241732,1.5363779067993164
87,0.5537904798984528,1.4841572046279907
88,0.5843366285165151,1.4328817129135132
89,0.5773275395234426,1.3981907367706299
90,0.5552470088005066,1.3403398990631104
91,0.5431190580129623,1.3311735391616821
92,0.534079243739446,1.3861268758773804
93,0.4881971975167592,1.4133381843566895
94,0.5508783757686615,1.3901691436767578
95,0.5025369276603063,1.3324620723724365
96,0.4944746096928914,1.2995171546936035
97,0.5391500939925512,1.2796238660812378
98,0.5155345350503922,1.306253433227539
99,0.5061578700939814,1.319684386253357
100,0.4815499782562256,1.3162293434143066
