Model,MSE,RMSE,MAE,R_squared
Random Forest,0.9705889419348261,0.9851847247774531,0.8013638573285871,0.16765263036033998
XGBoost,1.0533483329294784,1.0263275953268909,0.8080006046073847,0.12291978824777157
Neural Network,1.3162293577415782,1.147270394345456,0.826586162248086,0.2078344891878982
