molecule_chembl_id,pIC50,bioactivity_class,MW,LogP,HBD,HBA,TPSA,nRotB,nAtoms
CHEMBL384739,4.823908740944319,Inactive,313.976420004,3.77,0,2,112.6,3,20
CHEMBL208763,4.821954406114749,Inactive,422.0604244,4.277,1,4,106.21,7,29
CHEMBL209667,4.821954406114749,Inactive,456.021452048,4.899,1,4,106.21,7,30
CHEMBL210097,4.821954406114749,Inactive,524.008836676,5.824,1,4,106.21,8,34
CHEMBL2397338,4.809668301829708,Inactive,555.280531904,3.0580000000000007,4,12,173.41,8,40
CHEMBL212240,4.795880017344075,Inactive,433.845918556,3.8010000000000006,2,5,100.05,3,21
CHEMBL215732,4.795880017344075,Inactive,494.126005424,3.3440000000000003,2,10,170.24999999999997,11,35
CHEMBL377253,4.795880017344075,Inactive,304.040544484,2.4879999999999995,1,5,96.89,4,21
CHEMBL1086234,4.772113295386326,Inactive,367.054610748,4.783,1,3,94.84,5,25
CHEMBL495231,4.764471553092451,Inactive,453.241627232,6.240000000000001,2,4,65.2,9,34
CHEMBL215733,4.7447274948966935,Inactive,440.8388023080001,4.276,1,2,114.79,4,21
CHEMBL523052,4.739928612014925,Inactive,381.151097976,3.4570000000000003,1,4,93.32,7,27
CHEMBL379727,4.721246399047171,Inactive,246.10044230799997,0.9640000000000002,1,5,80.47,4,18
CHEMBL2440138,4.698970004336019,Inactive,462.1837950719999,2.506,2,7,134.38000000000002,9,33
CHEMBL375130,4.698970004336019,Inactive,334.055817688,3.3899999999999997,1,2,129.47,5,22
CHEMBL1082714,4.692503962086787,Inactive,363.104147784,4.0760000000000005,1,3,104.07,6,26
CHEMBL2402501,4.6777807052660805,Inactive,536.209341124,3.436000000000001,3,9,154.73,14,38
CHEMBL215254,4.675137907035239,Inactive,310.120509056,2.468,1,3,67.51,1,23
CHEMBL2442062,4.655607726314889,Inactive,473.18854610400007,4.153,1,6,108.36,9,34
CHEMBL2442075,4.647817481888637,Inactive,546.241309948,3.3240000000000007,2,8,137.46,12,39
CHEMBL210525,4.6020599913279625,Inactive,232.08479224399997,0.3949999999999999,1,5,80.47,3,17
CHEMBL215397,4.6020599913279625,Inactive,308.010306976,2.78,0,2,128.8,4,21
CHEMBL395263,4.6020599913279625,Inactive,352.09468823199995,3.015000000000001,0,2,63.22000000000001,3,26
CHEMBL2442078,4.5968794788241825,Inactive,540.161345376,2.563,2,9,162.91,11,37
